@relation Audio-weka.filters.unsupervised.instance.NonSparseToSparse
@attribute 'Volume' real
@attribute 'Number of Extreme Frequencies' real
@attribute 'Spectrul Flux' real
@attribute 'Type' {commercial, noncommercial}

@data
2.917433400822378E7,2888.0,113634.4494246691,noncommercial
5.906400624656738E7,3371.0,131783.16715917975,noncommercial
6957547.747846208,2694.0,50900.98381025152,noncommercial
1.7863446294994974E8,2702.0,288111.095698306,noncommercial
1.108669619867748E9,2590.0,534760.4440741495,noncommercial
1.7732392578485072E8,3050.0,235016.34640654508,noncommercial
7.323577381584767E7,2307.0,230068.02975888026,noncommercial
2.938281274781384E8,2658.0,398030.0065235992,noncommercial
2.3740658594979633E7,2221.0,130296.7043863259,noncommercial
4.190550733744985E8,2883.0,372366.5003525547,noncommercial
4.574881331260504E8,2711.0,363991.8404767688,noncommercial
1.6596741850951986E7,2987.0,65536.76751123737,noncommercial
8.379349496801326E8,2848.0,470731.6857603421,noncommercial
6.278055342969337E8,2867.0,407185.9501455637,noncommercial
2.7082823182588166E8,2722.0,305900.50651981786,noncommercial
6.91508767844624E8,2707.0,459723.7592092282,noncommercial
4.084723030784585E8,2822.0,403286.9093440003,noncommercial
8.343515157133734E7,3293.0,142198.97126804586,noncommercial
1.8023979912200067E9,3144.0,684578.3510057557,noncommercial
3.384196748586419E7,2350.0,155742.5304190805,noncommercial
2.1995116381980017E8,2736.0,324613.09494468215,noncommercial
1.1856035192957382E8,2191.0,230238.54626073694,noncommercial
2.8072582847345576E7,2488.0,92047.49822312035,noncommercial
1.3840414843781143E7,2394.0,78043.74508910852,noncommercial
1.6886112463851683E7,2358.0,94448.12396884034,noncommercial
1.0717139209711874E7,2011.0,92421.9511133681,noncommercial
4.4861090759011E8,3115.0,281905.99889470066,noncommercial
4.0627455330004233E8,3276.0,259899.01356434656,noncommercial
3.5426926258329123E8,2803.0,279301.7259765938,noncommercial
5.989789021886322E8,2723.0,621990.3892590464,noncommercial
5.794528919854338E7,2397.0,185493.04720037538,noncommercial
4.85587231014736E7,2350.0,171999.9223173967,noncommercial
4.223332910071291E7,2132.0,165822.6636835134,noncommercial
4.83530362092522E7,2204.0,167046.42533456584,noncommercial
6.79438771119434E7,2437.0,196785.4155322758,noncommercial
